,Ancho_cm,Alto_cm,Espesor_cm,Distancia_cm,BeamOn,Actividad_Ci,Neutrones,Gammas,Electrones,N_termicos,N_epitermicos,N_rapidos,Frac_termica_%,Efic_deteccion_%,Tasa_n_det_ps,Tasa_term_ps,Area_frontal_cm2,Cara_cuadrada
0,10.0,10.0,10.0,0,100000,2.98,277,263,10,19,97,161,0.019,0.277,18160.12,3.45,100.0,True
1,10.0,10.0,11.0,0,100000,2.98,233,218,6,19,96,118,0.019,0.233,15275.48,2.9,100.0,True
2,10.0,10.0,12.0,0,100000,2.98,178,171,6,19,64,95,0.019,0.178,11669.68,2.22,100.0,True
3,10.0,10.0,13.0,0,100000,2.98,120,152,5,12,34,74,0.012,0.12,7867.2,0.94,100.0,True
4,10.0,10.0,14.0,0,100000,2.98,110,121,0,18,36,56,0.018,0.11,7211.6,1.3,100.0,True
5,10.0,10.0,15.0,0,100000,2.98,75,86,4,9,27,39,0.009,0.075,4917.0,0.44,100.0,True
6,10.0,10.0,16.0,0,100000,2.98,64,73,2,7,23,34,0.007,0.064,4195.84,0.29,100.0,True
7,10.0,10.0,17.0,0,100000,2.98,37,75,2,8,12,17,0.008,0.037,2425.72,0.19,100.0,True
8,10.0,10.0,18.0,0,100000,2.98,38,71,1,7,14,17,0.007,0.038,2491.28,0.17,100.0,True
9,10.0,10.0,19.0,0,100000,2.98,22,63,1,0,6,16,0.0,0.022,1442.32,0.0,100.0,True
10,10.0,10.0,1.0,0,100000,2.98,17604,10772,305,1,925,16678,0.001,17.604,1154118.24,11.54,100.0,True
11,10.0,10.0,20.0,0,100000,2.98,15,55,3,2,8,5,0.002,0.015,983.4,0.02,100.0,True
12,10.0,10.0,2.0,0,100000,2.98,7173,4571,136,10,740,6423,0.01,7.173,470261.88,47.03,100.0,True
13,10.0,10.0,3.0,0,100000,2.98,3701,2342,61,17,576,3108,0.017,3.701,242637.56,41.25,100.0,True
14,10.0,10.0,4.0,0,100000,2.98,2253,1402,47,31,470,1752,0.031,2.253,147706.68,45.79,100.0,True
15,10.0,10.0,5.0,0,100000,2.98,1394,968,25,32,332,1030,0.032,1.394,91390.64,29.25,100.0,True
16,10.0,10.0,6.0,0,100000,2.98,995,682,16,40,278,677,0.04,0.995,65232.2,26.09,100.0,True
17,10.0,10.0,7.0,0,100000,2.98,702,527,12,48,201,453,0.048,0.702,46023.12,22.09,100.0,True
18,10.0,10.0,8.0,0,100000,2.98,489,405,9,32,162,295,0.032,0.489,32058.84,10.26,100.0,True
19,10.0,10.0,9.0,0,100000,2.98,345,310,9,28,117,200,0.028,0.345,22618.2,6.33,100.0,True
20,10.0,11.0,10.0,0,100000,2.98,320,259,6,34,103,183,0.034,0.32,20979.2,7.13,110.0,False
21,10.0,11.0,11.0,0,100000,2.98,238,199,8,26,82,130,0.026,0.238,15603.28,4.06,110.0,False
22,10.0,11.0,12.0,0,100000,2.98,204,174,8,22,72,110,0.022,0.204,13374.24,2.94,110.0,False
